"Conta_Total","Gorjeta","Genero","Fumante","Dia","Horario","Tamanho_Mesa","Avaliacao_Servico","Possui_Criancas","Percentual_Esperado_Gorjeta"
25.44,5.49,"Masculino","Sim","Dom","Jantar",4,5,"Sim",0.1659
15.11,4.49,"Masculino","Sim","Dom","Jantar",2,3,"Nao",0.2353
45.17,5.81,"Masculino","Sim","Sab","Almoco",3,3,"Nao",0.1226
24.01,2.75,"Feminino","Nao","Qui","Jantar",2,1,"Nao",0.1495
16.22,4.07,"Masculino","Nao","Qui","Jantar",2,5,"Sim",0.2181
19.14,4.78,"Masculino","Nao","Dom","Almoco",2,3,"Sim",0.2416
30.75,7.66,"Feminino","Sim","Dom","Jantar",2,4,"Nao",0.2412
16.18,3.81,"Masculino","Nao","Sab","Almoco",4,4,"Nao",0.1836
28.8,6.29,"Masculino","Sim","Sex","Jantar",3,5,"Sim",0.2203
26.47,5.3,"Masculino","Nao","Dom","Jantar",4,4,"Nao",0.2032
16.84,1.91,"Feminino","Nao","Dom","Almoco",3,2,"Nao",0.1366
25.23,2.99,"Masculino","Nao","Sab","Jantar",3,1,"Sim",0.1538
17.01,3.48,"Masculino","Nao","Sab","Jantar",5,4,"Nao",0.2158
11.9,2.91,"Feminino","Sim","Sab","Jantar",4,3,"Nao",0.2287
21.61,4.8,"Masculino","Nao","Sab","Jantar",3,3,"Nao",0.2292
14.21,1.27,"Masculino","Nao","Sex","Almoco",2,4,"Nao",0.1368
20.52,3.97,"Feminino","Nao","Qui","Jantar",2,5,"Nao",0.1907
13.31,2.86,"Masculino","Nao","Qui","Jantar",2,4,"Nao",0.1764
29.08,5.63,"Masculino","Nao","Qui","Jantar",2,2,"Nao",0.1886
20.82,4.59,"Masculino","Nao","Sab","Almoco",2,5,"Nao",0.1956
15.55,2.43,"Feminino","Sim","Sex","Jantar",4,5,"Nao",0.1424
17.29,2.48,"Feminino","Sim","Qui","Jantar",2,4,"Nao",0.1321
15.13,2.01,"Masculino","Nao","Sab","Jantar",2,5,"Nao",0.1032
15.71,3.53,"Masculino","Sim","Sab","Jantar",3,5,"Nao",0.2001
14.52,2.25,"Masculino","Nao","Qui","Jantar",2,4,"Nao",0.188
29.32,6.36,"Masculino","Nao","Dom","Jantar",2,3,"Nao",0.2082
18.51,3.84,"Masculino","Sim","Sex","Jantar",2,3,"Nao",0.145
29.71,3.08,"Masculino","Nao","Sab","Jantar",2,2,"Nao",0.1347
17.91,3.27,"Feminino","Nao","Dom","Jantar",3,5,"Sim",0.1189
29.8,8.73,"Masculino","Nao","Sex","Jantar",2,5,"Nao",0.2204
26.53,2.8,"Feminino","Nao","Qui","Jantar",2,4,"Sim",0.1178
28.59,4.54,"Masculino","Sim","Qui","Almoco",2,4,"Sim",0.1677
38.24,7.31,"Masculino","Sim","Qui","Almoco",2,4,"Nao",0.1864
17.16,2.21,"Masculino","Nao","Qui","Jantar",2,4,"Sim",0.1176
59.38,13.27,"Masculino","Nao","Dom","Jantar",2,4,"Nao",0.232
26.83,2.84,"Feminino","Nao","Sab","Jantar",2,1,"Nao",0.1486
13.79,2.67,"Masculino","Nao","Sex","Almoco",4,4,"Nao",0.1717
23.19,4.84,"Masculino","Nao","Qui","Jantar",4,4,"Nao",0.1651
22.29,4.25,"Masculino","Sim","Sab","Jantar",2,4,"Nao",0.187
7.11,2.15,"Masculino","Nao","Sab","Almoco",2,2,"Sim",0.1262
11.1,0.73,"Masculino","Sim","Qui","Jantar",2,4,"Nao",0.1357
8.17,2.14,"Masculino","Sim","Sab","Jantar",3,5,"Nao",0.2174
28.72,4.25,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1351
23.81,2.08,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1019
22.82,4.94,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1993
30.13,8.35,"Feminino","Nao","Qui","Jantar",2,5,"Nao",0.2495
18.9,5.98,"Masculino","Nao","Qui","Almoco",2,5,"Sim",0.2389
43.33,9.7,"Masculino","Nao","Qui","Jantar",3,4,"Sim",0.2338
11.09,1.33,"Feminino","Nao","Sex","Jantar",2,4,"Sim",0.1864
15.25,1.59,"Masculino","Sim","Sex","Jantar",2,4,"Sim",0.1465
18.29,3.43,"Masculino","Sim","Sab","Jantar",2,4,"Nao",0.1842
11.19,2.87,"Masculino","Nao","Sab","Jantar",2,4,"Sim",0.1939
23.74,5.65,"Masculino","Nao","Sab","Almoco",4,5,"Sim",0.1944
21.4,4.55,"Masculino","Nao","Sab","Jantar",2,3,"Nao",0.2065
16.12,1.78,"Feminino","Nao","Sex","Jantar",3,1,"Sim",0.1659
37.73,5.38,"Feminino","Sim","Dom","Almoco",3,4,"Nao",0.1573
13.87,2,"Feminino","Nao","Dom","Jantar",2,5,"Nao",0.1755
16.24,2.86,"Feminino","Sim","Sab","Almoco",2,5,"Nao",0.1695
22.99,3.06,"Feminino","Nao","Qui","Jantar",4,5,"Nao",0.113
35.97,5.5,"Masculino","Nao","Sex","Jantar",2,4,"Nao",0.1643
19.61,3.64,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.165
38,7.62,"Feminino","Nao","Sab","Jantar",2,4,"Nao",0.2015
25.55,2.93,"Masculino","Sim","Dom","Jantar",2,4,"Sim",0.1072
14.11,2.83,"Masculino","Sim","Dom","Jantar",2,4,"Nao",0.1873
12.52,2,"Masculino","Nao","Sex","Jantar",4,4,"Nao",0.1877
19.43,2.24,"Feminino","Sim","Dom","Jantar",1,4,"Nao",0.1315
11.45,1.41,"Masculino","Nao","Sab","Jantar",3,4,"Nao",0.1164
23.18,4.13,"Masculino","Nao","Sab","Jantar",3,3,"Nao",0.1975
6.48,0.84,"Masculino","Sim","Dom","Almoco",6,1,"Nao",0.1743
21.69,2.08,"Masculino","Nao","Sab","Jantar",2,3,"Sim",0.1158
21.43,6.19,"Masculino","Nao","Sex","Jantar",3,5,"Sim",0.2446
22.78,5.13,"Feminino","Sim","Qui","Jantar",2,4,"Nao",0.22
43.21,9.29,"Feminino","Nao","Dom","Jantar",2,4,"Sim",0.2161
22.01,5.07,"Masculino","Nao","Qui","Almoco",3,3,"Sim",0.23
19.83,4.19,"Masculino","Sim","Dom","Jantar",2,2,"Nao",0.2196
11,2.42,"Masculino","Nao","Sab","Almoco",2,4,"Nao",0.2004
21.99,6.41,"Masculino","Sim","Qui","Almoco",2,5,"Nao",0.2349
36.17,6.06,"Masculino","Nao","Qui","Jantar",2,4,"Nao",0.1396
23.01,3.48,"Masculino","Nao","Sab","Almoco",6,2,"Nao",0.1378
15.92,2.87,"Feminino","Sim","Sab","Jantar",2,4,"Nao",0.1647
10.75,1.23,"Masculino","Nao","Qui","Almoco",2,4,"Sim",0.1209
20.58,4.26,"Feminino","Sim","Qui","Jantar",3,4,"Sim",0.2236
21.27,3.66,"Masculino","Sim","Sab","Jantar",4,4,"Nao",0.1879
24.3,4.05,"Masculino","Sim","Qui","Jantar",2,4,"Nao",0.1601
48.53,7.35,"Masculino","Nao","Sab","Jantar",2,4,"Sim",0.1356
8.08,2.14,"Masculino","Sim","Sab","Jantar",3,3,"Nao",0.1549
29.28,3.84,"Feminino","Nao","Sab","Jantar",2,4,"Nao",0.1453
6.37,1.8,"Feminino","Nao","Qui","Jantar",6,4,"Nao",0.2051
35.39,7.35,"Feminino","Sim","Dom","Jantar",3,1,"Nao",0.2177
20.98,4.11,"Feminino","Sim","Sab","Jantar",4,4,"Nao",0.1577
28.53,7.72,"Masculino","Sim","Dom","Jantar",2,5,"Nao",0.2393
9.92,1,"Masculino","Sim","Qui","Almoco",3,5,"Nao",0.1004
25.95,6.05,"Masculino","Nao","Dom","Almoco",2,2,"Sim",0.2163
16.47,2.41,"Masculino","Nao","Sex","Jantar",2,3,"Nao",0.1671
15.09,1.7,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.132
12.47,1.51,"Masculino","Sim","Qui","Jantar",3,1,"Sim",0.1345
10.59,1.28,"Masculino","Sim","Qui","Jantar",2,3,"Nao",0.1243
32.24,5.93,"Masculino","Sim","Sex","Almoco",2,3,"Nao",0.1856
10.18,3.37,"Masculino","Nao","Sab","Jantar",2,5,"Nao",0.1865
11.19,1.48,"Feminino","Sim","Qui","Jantar",4,2,"Nao",0.1219
26,5.81,"Masculino","Nao","Dom","Jantar",3,5,"Nao",0.1611
28.34,3.84,"Masculino","Sim","Qui","Almoco",4,5,"Nao",0.1142
39.56,5.67,"Masculino","Sim","Dom","Jantar",4,4,"Nao",0.1174
11.56,3.43,"Feminino","Nao","Sab","Jantar",2,3,"Nao",0.2286
11.45,2.94,"Masculino","Nao","Dom","Jantar",2,3,"Nao",0.2181
14.24,3.92,"Masculino","Sim","Qui","Jantar",4,4,"Nao",0.2427
18.19,1.95,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1168
13.05,1.9,"Feminino","Nao","Sab","Jantar",3,4,"Nao",0.1748
28.31,7.29,"Masculino","Nao","Sex","Jantar",3,3,"Nao",0.2205
31.74,9.84,"Masculino","Nao","Sab","Jantar",2,5,"Nao",0.2473
11.7,1.22,"Feminino","Nao","Dom","Jantar",4,3,"Nao",0.1285
19.31,4.45,"Masculino","Nao","Dom","Almoco",4,5,"Nao",0.1555
18.18,3.27,"Feminino","Nao","Sex","Jantar",2,2,"Nao",0.1762
25.38,3.51,"Feminino","Sim","Sex","Jantar",5,5,"Sim",0.1204
21.55,3.01,"Masculino","Nao","Dom","Jantar",6,4,"Sim",0.1606
31.49,3.46,"Masculino","Sim","Sab","Jantar",3,3,"Nao",0.1213
16.7,3.64,"Masculino","Nao","Sex","Jantar",3,4,"Nao",0.2042
34.67,7.73,"Masculino","Nao","Dom","Jantar",3,3,"Nao",0.2291
16.13,2.23,"Feminino","Nao","Sex","Jantar",2,2,"Nao",0.1517
39.68,8.46,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1952
13.88,3.08,"Masculino","Nao","Dom","Jantar",2,2,"Nao",0.193
20.85,4.2,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1732
7.35,1.3,"Masculino","Nao","Sab","Almoco",2,4,"Nao",0.1105
25.46,5.77,"Masculino","Nao","Qui","Almoco",2,5,"Sim",0.2107
34.78,8.73,"Masculino","Nao","Dom","Jantar",2,5,"Nao",0.208
15.35,2.12,"Masculino","Sim","Sex","Almoco",2,3,"Nao",0.1419
28.88,6.79,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.2204
18.79,2.61,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1248
21.26,3.09,"Masculino","Nao","Dom","Almoco",4,4,"Sim",0.2008
25.63,5.61,"Masculino","Nao","Sab","Jantar",2,4,"Sim",0.2233
18.74,4.23,"Masculino","Sim","Sex","Jantar",2,5,"Sim",0.1955
12.19,1.48,"Masculino","Nao","Qui","Jantar",3,5,"Sim",0.1249
16.61,1.8,"Masculino","Nao","Qui","Almoco",2,3,"Nao",0.1011
19.55,6.24,"Masculino","Nao","Sex","Jantar",2,5,"Sim",0.2477
18.14,2.71,"Feminino","Sim","Qui","Jantar",3,4,"Sim",0.1132
16.14,3.16,"Masculino","Nao","Qui","Jantar",4,4,"Sim",0.2223
22.55,3.21,"Masculino","Nao","Sex","Jantar",4,5,"Nao",0.1305
25.51,6.33,"Masculino","Nao","Dom","Jantar",6,5,"Nao",0.218
48.07,9.03,"Masculino","Nao","Sex","Almoco",1,4,"Nao",0.19
13.59,2.85,"Masculino","Nao","Sex","Jantar",2,3,"Sim",0.1757
24.22,2.89,"Masculino","Sim","Qui","Jantar",5,4,"Nao",0.1082
15.48,2.28,"Feminino","Sim","Qui","Jantar",2,3,"Nao",0.1653
22.7,2.81,"Masculino","Nao","Dom","Almoco",3,4,"Nao",0.1351
17.85,4.53,"Masculino","Nao","Dom","Almoco",1,4,"Nao",0.2427
17.35,1.37,"Masculino","Sim","Qui","Jantar",2,3,"Sim",0.11
29.84,6.59,"Feminino","Nao","Sab","Jantar",2,5,"Nao",0.1653
15.13,1.85,"Feminino","Sim","Sab","Almoco",2,4,"Nao",0.1411
32.88,7.84,"Masculino","Nao","Sex","Jantar",4,3,"Nao",0.2241
69.69,8.45,"Feminino","Nao","Dom","Jantar",2,4,"Nao",0.1134
8.07,2.13,"Feminino","Sim","Sab","Jantar",2,3,"Nao",0.1996
37.36,3.92,"Feminino","Sim","Qui","Jantar",2,2,"Sim",0.1109
45.71,8.44,"Masculino","Sim","Sab","Jantar",2,5,"Nao",0.1379
24.36,2.67,"Masculino","Sim","Sab","Jantar",3,3,"Nao",0.1255
12.95,2.52,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.211
27.03,3.94,"Masculino","Sim","Qui","Jantar",4,3,"Nao",0.1596
18.63,1.82,"Masculino","Nao","Sab","Almoco",2,4,"Nao",0.1304
17.2,4.99,"Masculino","Sim","Qui","Almoco",2,4,"Nao",0.2114
15.48,3.35,"Masculino","Sim","Sab","Jantar",2,4,"Nao",0.2028
8.88,1.78,"Masculino","Sim","Qui","Almoco",5,4,"Nao",0.2403
20.55,2.48,"Masculino","Nao","Sab","Almoco",2,1,"Sim",0.1701
16.29,3.77,"Masculino","Sim","Sex","Jantar",2,3,"Nao",0.2208
21,4.51,"Masculino","Sim","Sab","Jantar",3,4,"Nao",0.186
30.4,5.62,"Masculino","Sim","Sab","Jantar",2,1,"Sim",0.2486
10.55,3.64,"Masculino","Nao","Sab","Jantar",2,5,"Sim",0.2449
10.36,3.23,"Masculino","Sim","Qui","Jantar",2,5,"Sim",0.2409
18.98,3.78,"Masculino","Sim","Sab","Jantar",2,4,"Nao",0.1846
29.19,3.03,"Feminino","Nao","Qui","Jantar",2,4,"Nao",0.1002
23.4,4.02,"Masculino","Sim","Qui","Jantar",2,3,"Nao",0.1996
14.35,3.36,"Masculino","Sim","Qui","Jantar",2,2,"Nao",0.1914
12.56,2.83,"Feminino","Nao","Sex","Jantar",2,4,"Nao",0.2441
17.38,1.96,"Feminino","Nao","Qui","Almoco",3,4,"Nao",0.1319
36.35,8.09,"Feminino","Nao","Dom","Jantar",2,4,"Nao",0.2341
6.42,0.5,"Masculino","Sim","Sab","Jantar",2,5,"Nao",0.1345
14.17,3.04,"Masculino","Sim","Dom","Jantar",3,4,"Sim",0.2254
24.59,2.81,"Masculino","Sim","Dom","Jantar",2,3,"Nao",0.1047
11.77,2.06,"Masculino","Nao","Sex","Jantar",5,4,"Nao",0.2158
25.56,4.4,"Masculino","Nao","Sab","Jantar",1,4,"Sim",0.1814
20.42,1.92,"Masculino","Nao","Dom","Jantar",4,4,"Nao",0.1267
22.33,5.73,"Masculino","Nao","Dom","Jantar",5,4,"Sim",0.2174
58.68,14.27,"Feminino","Nao","Sex","Jantar",4,4,"Sim",0.2438
14.8,2.36,"Masculino","Nao","Sab","Jantar",2,5,"Nao",0.1835
47.5,10.54,"Masculino","Nao","Sab","Jantar",4,4,"Nao",0.2316
25.44,3.26,"Masculino","Nao","Sab","Jantar",6,4,"Nao",0.1198
34.2,3.86,"Masculino","Nao","Qui","Jantar",2,1,"Sim",0.1473
16.78,2.86,"Masculino","Sim","Sab","Almoco",3,2,"Nao",0.2029
59.58,7.94,"Masculino","Sim","Qui","Jantar",2,5,"Nao",0.1017
50.43,11.73,"Masculino","Nao","Sab","Almoco",2,4,"Nao",0.2285
12.12,0.97,"Feminino","Sim","Sab","Jantar",2,2,"Nao",0.1428
20.07,2.56,"Masculino","Sim","Sab","Jantar",3,4,"Nao",0.1387
15.62,2.73,"Feminino","Sim","Qui","Jantar",2,4,"Nao",0.2014
22.44,3.57,"Feminino","Nao","Qui","Jantar",2,1,"Nao",0.1627
26.79,6.21,"Masculino","Nao","Dom","Jantar",2,4,"Nao",0.2024
11.93,3.34,"Masculino","Nao","Qui","Almoco",2,5,"Nao",0.2247
17.63,2.6,"Feminino","Nao","Dom","Jantar",4,4,"Nao",0.1208
13.62,2.08,"Masculino","Sim","Sab","Jantar",2,3,"Nao",0.1463
16.42,3.17,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1918
6.46,0.99,"Feminino","Nao","Sab","Jantar",3,4,"Nao",0.1118
22.76,6.33,"Masculino","Nao","Qui","Almoco",2,3,"Nao",0.2428
19.65,5.8,"Masculino","Nao","Sex","Jantar",3,5,"Sim",0.207
19.62,3.26,"Masculino","Nao","Dom","Jantar",2,5,"Nao",0.1383
5.7,0.83,"Feminino","Nao","Sab","Jantar",2,2,"Nao",0.1122
27.4,5.03,"Masculino","Nao","Dom","Jantar",2,4,"Nao",0.1997
24.85,4.7,"Masculino","Nao","Sab","Jantar",2,4,"Sim",0.193
25.94,4.73,"Masculino","Sim","Sab","Almoco",2,4,"Nao",0.1777
20.33,5.44,"Feminino","Nao","Sab","Jantar",2,4,"Sim",0.2216
17.84,3.54,"Feminino","Nao","Sex","Almoco",4,5,"Nao",0.1878
24.78,2.52,"Feminino","Sim","Sab","Jantar",2,3,"Nao",0.1045
10.56,1.3,"Feminino","Sim","Sex","Almoco",4,2,"Nao",0.1016
19.98,3.46,"Masculino","Sim","Dom","Almoco",4,4,"Sim",0.1762
16.39,1.67,"Feminino","Nao","Qui","Jantar",3,3,"Nao",0.1537
14.96,2.34,"Masculino","Nao","Sab","Jantar",4,4,"Nao",0.1543
7.56,2.03,"Feminino","Sim","Sab","Almoco",2,4,"Sim",0.1249
9.87,1.69,"Masculino","Sim","Sab","Jantar",2,4,"Nao",0.1212
38.94,5.8,"Masculino","Nao","Dom","Jantar",3,3,"Sim",0.1575
36.36,4.95,"Feminino","Nao","Sex","Jantar",4,4,"Nao",0.1403
36.78,8.24,"Masculino","Nao","Dom","Jantar",4,3,"Sim",0.2344
27.47,3.79,"Masculino","Nao","Dom","Almoco",2,4,"Nao",0.1306
15.31,1.92,"Masculino","Nao","Qui","Almoco",2,4,"Nao",0.149
8.8,1.85,"Masculino","Sim","Dom","Jantar",2,4,"Sim",0.1453
15.34,2.11,"Masculino","Sim","Qui","Jantar",3,3,"Nao",0.1606
13.84,3.47,"Feminino","Nao","Dom","Jantar",3,5,"Nao",0.1144
55.19,12.49,"Feminino","Nao","Sab","Jantar",4,5,"Sim",0.2027
51.45,8.3,"Masculino","Sim","Sab","Jantar",3,4,"Nao",0.1682
25.44,1.9,"Masculino","Nao","Sab","Jantar",3,4,"Sim",0.1036
35.35,8.62,"Masculino","Nao","Sex","Almoco",4,5,"Nao",0.2224
26.1,6.27,"Masculino","Nao","Qui","Jantar",2,4,"Nao",0.2331
10.5,2.05,"Feminino","Sim","Dom","Jantar",5,2,"Nao",0.1721
8.13,2.01,"Masculino","Nao","Qui","Jantar",2,4,"Nao",0.225
46.4,11.97,"Masculino","Nao","Dom","Jantar",2,5,"Nao",0.2327
19.2,4.63,"Masculino","Nao","Qui","Jantar",2,3,"Nao",0.2451
19.73,2.89,"Feminino","Nao","Qui","Jantar",2,3,"Nao",0.1349
10.85,2.7,"Masculino","Sim","Qui","Almoco",2,5,"Sim",0.2279
9.99,2.23,"Feminino","Nao","Sex","Jantar",2,2,"Sim",0.1288
32.86,7.77,"Feminino","Nao","Sex","Almoco",3,2,"Nao",0.236
13.65,2.44,"Feminino","Sim","Qui","Almoco",2,4,"Nao",0.2465
26.79,3.8,"Feminino","Nao","Dom","Jantar",3,4,"Nao",0.1492
16.37,2.2,"Feminino","Sim","Sex","Jantar",2,3,"Sim",0.13
21.49,2.89,"Masculino","Nao","Sab","Jantar",2,4,"Nao",0.1309
16.98,4.73,"Masculino","Nao","Dom","Jantar",2,3,"Nao",0.2441
17.85,3.64,"Feminino","Sim","Sab","Jantar",2,2,"Nao",0.1973
34.68,5.39,"Feminino","Sim","Dom","Jantar",2,4,"Nao",0.1432
13.57,2.58,"Masculino","Sim","Sex","Jantar",2,4,"Sim",0.1833
20.61,3.03,"Masculino","Nao","Dom","Jantar",2,3,"Nao",0.1201
33.18,6.71,"Masculino","Sim","Dom","Jantar",3,2,"Sim",0.1977
9.93,2.06,"Masculino","Sim","Qui","Jantar",4,3,"Nao",0.2393
16.27,2.6,"Masculino","Sim","Qui","Jantar",3,4,"Nao",0.1823
29.37,7.01,"Masculino","Nao","Sab","Jantar",2,2,"Nao",0.2414
28.76,4.12,"Masculino","Nao","Dom","Jantar",4,4,"Nao",0.1124
29.58,7.01,"Feminino","Nao","Sex","Almoco",2,4,"Nao",0.2337
12.94,1.93,"Masculino","Nao","Sab","Jantar",5,4,"Nao",0.1109
23.18,2.12,"Feminino","Sim","Sab","Jantar",3,3,"Nao",0.1253
26.74,4.49,"Feminino","Nao","Sab","Jantar",2,3,"Sim",0.1973
33.38,6.63,"Masculino","Sim","Sex","Jantar",1,3,"Nao",0.2048
5.68,0.94,"Masculino","Sim","Sex","Jantar",3,4,"Nao",0.1497
64.72,9.17,"Feminino","Nao","Sab","Almoco",2,4,"Nao",0.1429
55.42,7.45,"Masculino","Nao","Sex","Jantar",2,5,"Nao",0.1208
32.57,5.08,"Masculino","Nao","Qui","Almoco",2,4,"Sim",0.1316
